Actual: Is  Stemm: Is
Actual: Bank  Stemm: bank
Actual: said  Stemm: said
Actual: .  Stemm: .
Actual: Other  Stemm: other
Actual: examples  Stemm: exampl
Actual: are  Stemm: are
Actual: shares  Stemm: share
Actual: automatically  Stemm: automat
Actual: paying  Stemm: pay
Actual: dividends  Stemm: dividend
Actual: directly  Stemm: directli
Actual: to  Stemm: to
Actual: shareholders  Stemm: sharehold
Actual: ,  Stemm: ,
Actual: or  Stemm: or
Actual: electricity  Stemm: electr
Actual: meters  Stemm: meter
Actual: paying  Stemm: pay
Actual: suppliers  Stemm: supplier
Actual: directly  Stemm: directli
Actual: ,  Stemm: ,
Actual: based  Stemm: base
Actual: on  Stemm: on
Actual: the  Stemm: the
Actual: amount  Stemm: amount
Actual: of  Stemm: of
Actual: power  Stemm: power
Actual: used  Stemm: use
Actual: .  Stemm: .
Actual: It  Stemm: It
Actual: could  Stemm: could
Actual: also  Stemm: also
Actual: help  Stemm: help
Actual: with  Stemm: with
Actual: very  Stemm: veri
Actual: small  Stemm: small
Actual: payments  Stemm: payment
Actual: at  Stemm: at
Actual: a  Stemm: a
Actual: lower  Stemm: lower
Actual: cost  Stemm: cost
Actual: than  Stemm: than
Actual: now  Stemm: now
Actual: ,  Stemm: ,
Actual: allowing  Stemm: allow
Actual: payments  Stemm: payment
Actual: such  Stemm: such
Actual: as  Stemm: as
Actual: for  Stemm: for
Actual: a  Stemm: a
Actual: few  Stemm: few
Actual: pence  Stemm: penc
Actual: each  Stemm: each
Actual: time  Stemm: time
Actual: to  Stemm: to
Actual: read  Stemm: read
Actual: individual  Stemm: individu
Actual: news  Stemm: news
Actual: articles  Stemm: articl
Actual: ,  Stemm: ,
Actual: rather  Stemm: rather
Actual: than  Stemm: than
Actual: signing  Stemm: sign
Actual: up  Stemm: up
Actual: to  Stemm: to
Actual: a  Stemm: a
Actual: monthly  Stemm: monthli
Actual: subscription  Stemm: subscript
Actual: .  Stemm: .
Actual: Other  Stemm: other
Actual: central  Stemm: central
Actual: banks  Stemm: bank
Actual: around  Stemm: around
Actual: the  Stemm: the
Actual: world  Stemm: world
Actual: are  Stemm: are
Actual: investigating  Stemm: investig
Actual: the  Stemm: the
Actual: option  Stemm: option
Actual: of  Stemm: of
Actual: issuing  Stemm: issu
Actual: digital  Stemm: digit
Actual: currency  Stemm: currenc
Actual: .  Stemm: .
