Actual: Is  Lemma: Is
Actual: high  Lemma: high
Actual: ,  Lemma: ,
Actual: but  Lemma: but
Actual: people  Lemma: people
Actual: had  Lemma: had
Actual: been  Lemma: been
Actual: making  Lemma: making
Actual: fewer  Lemma: fewer
Actual: payments  Lemma: payment
Actual: in  Lemma: in
Actual: cash  Lemma: cash
Actual: ,  Lemma: ,
Actual: the  Lemma: the
Actual: Bank  Lemma: Bank
Actual: said  Lemma: said
Actual: .  Lemma: .
Actual: The  Lemma: The
Actual: governor  Lemma: governor
Actual: said  Lemma: said
Actual: fintech  Lemma: fintech
Actual: firms  Lemma: firm
Actual: had  Lemma: had
Actual: begun  Lemma: begun
Actual: to  Lemma: to
Actual: offer  Lemma: offer
Actual: new  Lemma: new
Actual: forms  Lemma: form
Actual: of  Lemma: of
Actual: money  Lemma: money
Actual: and  Lemma: and
Actual: new  Lemma: new
Actual: ways  Lemma: way
Actual: to  Lemma: to
Actual: pay  Lemma: pay
Actual: with  Lemma: with
Actual: it  Lemma: it
Actual: ,  Lemma: ,
Actual: but  Lemma: but
Actual: it  Lemma: it
Actual: was  Lemma: wa
Actual: important  Lemma: important
Actual: to  Lemma: to
Actual: have  Lemma: have
Actual: currency  Lemma: currency
Actual: from  Lemma: from
Actual: a  Lemma: a
Actual: trusted  Lemma: trusted
Actual: central  Lemma: central
Actual: bank  Lemma: bank
Actual: .  Lemma: .
Actual: So  Lemma: So
Actual: ,  Lemma: ,
Actual: the  Lemma: the
Actual: Bank  Lemma: Bank
Actual: is  Lemma: is
Actual: considering  Lemma: considering
Actual: a  Lemma: a
Actual: Central  Lemma: Central
Actual: Bank  Lemma: Bank
Actual: Digital  Lemma: Digital
Actual: Currency  Lemma: Currency
Actual: ,  Lemma: ,
Actual: which  Lemma: which
Actual: would  Lemma: would
Actual: be  Lemma: be
Actual: denominated  Lemma: denominated
Actual: in  Lemma: in
Actual: pounds  Lemma: pound
Actual: sterling  Lemma: sterling
Actual: ,  Lemma: ,
Actual: just  Lemma: just
Actual: like  Lemma: like
Actual: banknotes  Lemma: banknote
Actual: .  Lemma: .
Actual: So  Lemma: So
Actual: £10  Lemma: £10
Actual: of  Lemma: of
Actual: the  Lemma: the
Actual: digital  Lemma: digital
Actual: currency  Lemma: currency
Actual: would  Lemma: would
Actual: always  Lemma: always
Actual: be  Lemma: be
Actual: worth  Lemma: worth
Actual: the  Lemma: the
Actual: same  Lemma: same
Actual: as  Lemma: a
Actual: a  Lemma: a
Actual: £10  Lemma: £10
Actual: note  Lemma: note
Actual: .  Lemma: .
Actual: This  Lemma: This
Actual: system  Lemma: system
Actual: would  Lemma: would
Actual: be  Lemma: be
Actual: different  Lemma: different
Actual: from  Lemma: from
Actual: money  Lemma: money
Actual: held  Lemma: held
Actual: digitally  Lemma: digitally
Actual: in  Lemma: in
Actual: a  Lemma: a
Actual: bank  Lemma: bank
Actual: account  Lemma: account
Actual: ,  Lemma: ,
Actual: or  Lemma: or
Actual: cryptocurrencies  Lemma: cryptocurrencies
Actual: .  Lemma: .
Actual: It  Lemma: It
Actual: would  Lemma: would
Actual: be  Lemma: be
Actual: guaranteed  Lemma: guaranteed
Actual: by  Lemma: by
Actual: the  Lemma: the
Actual: Bank  Lemma: Bank
Actual: ,  Lemma: ,
Actual: rather  Lemma: rather
Actual: than  Lemma: than
Actual: a  Lemma: a
Actual: commercial  Lemma: commercial
Actual: business  Lemma: business
Actual: .  Lemma: .
Actual: The  Lemma: The
Actual: idea  Lemma: idea
Actual: also  Lemma: also
Actual: suggests  Lemma: suggests
Actual: that  Lemma: that
Actual: consumers  Lemma: consumer
Actual: would  Lemma: would
Actual: be  Lemma: be
Actual: able  Lemma: able
Actual: to  Lemma: to
Actual: pay  Lemma: pay
Actual: for  Lemma: for
Actual: things  Lemma: thing
Actual: without  Lemma: without
Actual: all  Lemma: all
Actual: the  Lemma: the
Actual: data  Lemma: data
Actual: about  Lemma: about
Actual: their  Lemma: their
Actual: transactions  Lemma: transaction
Actual: going  Lemma: going
Actual: to  Lemma: to
Actual: their  Lemma: their
Actual: bank  Lemma: bank
Actual: .  Lemma: .
Actual: There  Lemma: There
Actual: would  Lemma: would
Actual: be  Lemma: be
Actual: some  Lemma: some
Actual: anonymity  Lemma: anonymity
Actual: ,  Lemma: ,
Actual: as  Lemma: a
Actual: there  Lemma: there
Actual: is  Lemma: is
Actual: with  Lemma: with
Actual: cash  Lemma: cash
Actual: .  Lemma: .
Actual: Loading  Lemma: Loading
Actual: Central  Lemma: Central
Actual: Bank  Lemma: Bank
Actual: Digital  Lemma: Digital
Actual: Currency  Lemma: Currency
Actual: would  Lemma: would
Actual: be  Lemma: be
Actual: an  Lemma: an
Actual: electronic  Lemma: electronic
Actual: version  Lemma: version
Actual: of  Lemma: of
Actual: withdrawing  Lemma: withdrawing
Actual: banknotes  Lemma: banknote
Actual: from  Lemma: from
Actual: an  Lemma: an
Actual: ATM  Lemma: ATM
Actual: .  Lemma: .
Actual: The  Lemma: The
Actual: Bank  Lemma: Bank
Actual: stressed  Lemma: stressed
Actual: this  Lemma: this
Actual: would  Lemma: would
Actual: not  Lemma: not
Actual: replace  Lemma: replace
Actual: cash  Lemma: cash
Actual: ,  Lemma: ,
Actual: particularly  Lemma: particularly
Actual: for  Lemma: for
Actual: those  Lemma: those
Actual: who  Lemma: who
Actual: prefer  Lemma: prefer
Actual: to  Lemma: to
Actual: use  Lemma: use
Actual: it  Lemma: it
Actual: .  Lemma: .
Actual: ``  Lemma: ``
Actual: As  Lemma: As
Actual: long  Lemma: long
Actual: as  Lemma: a
Actual: demand  Lemma: demand
Actual: for  Lemma: for
Actual: cash  Lemma: cash
Actual: remains  Lemma: remains
Actual: ,  Lemma: ,
Actual: the  Lemma: the
Actual: Bank  Lemma: Bank
Actual: is  Lemma: is
Actual: committed  Lemma: committed
Actual: to  Lemma: to
Actual: meeting  Lemma: meeting
Actual: this  Lemma: this
Actual: demand  Lemma: demand
Actual: ,  Lemma: ,
Actual: ''  Lemma: ''
Actual: the  Lemma: the
Actual: Bank  Lemma: Bank
Actual: 's  Lemma: 's
Actual: discussion  Lemma: discussion
Actual: paper  Lemma: paper
Actual: says  Lemma: say
Actual: .  Lemma: .
Actual: The  Lemma: The
Actual: currency  Lemma: currency
Actual: would  Lemma: would
Actual: also  Lemma: also
Actual: be  Lemma: be
Actual: separate  Lemma: separate
Actual: from  Lemma: from
Actual: card  Lemma: card
Actual: payments  Lemma: payment
Actual: ,  Lemma: ,
Actual: meaning  Lemma: meaning
Actual: it  Lemma: it
Actual: would  Lemma: would
Actual: not  Lemma: not
Actual: be  Lemma: be
Actual: affected  Lemma: affected
Actual: by  Lemma: by
Actual: technical  Lemma: technical
Actual: failures  Lemma: failure
Actual: at  Lemma: at
Actual: Visa  Lemma: Visa
Actual: ,  Lemma: ,
Actual: Mastercard  Lemma: Mastercard
Actual: ,  Lemma: ,
Actual: or  Lemma: or
Actual: other  Lemma: other
Actual: payment  Lemma: payment
Actual: networks  Lemma: network
Actual: .  Lemma: .
Actual: Payments  Lemma: Payments
Actual: of  Lemma: of
Actual: the  Lemma: the
Actual: future  Lemma: future
Actual: The  Lemma: The
Actual: introduction  Lemma: introduction
Actual: of  Lemma: of
Actual: a  Lemma: a
Actual: digital  Lemma: digital
Actual: currency  Lemma: currency
Actual: could  Lemma: could
Actual: lead  Lemma: lead
Actual: to  Lemma: to
Actual: ``  Lemma: ``
Actual: programmable  Lemma: programmable
Actual: money  Lemma: money
Actual: ''  Lemma: ''
Actual: ,  Lemma: ,
Actual: when  Lemma: when
Actual: payments  Lemma: payment
Actual: could  Lemma: could
Actual: be  Lemma: be
Actual: integrated  Lemma: integrated
Actual: with  Lemma: with
Actual: appliances  Lemma: appliance
Actual: at  Lemma: at
Actual: home  Lemma: home
Actual: or  Lemma: or
Actual: tills  Lemma: till
Actual: at  Lemma: at
Actual: the  Lemma: the
Actual: shops  Lemma: shop
Actual: .  Lemma: .
Actual: Tax  Lemma: Tax
Actual: payments  Lemma: payment
Actual: could  Lemma: could
Actual: be  Lemma: be
Actual: routed  Lemma: routed
Actual: to  Lemma: to
Actual: HM  Lemma: HM
Actual: Revenue  Lemma: Revenue
Actual: and  Lemma: and
Actual: Customs  Lemma: Customs
Actual: at  Lemma: at
Actual: the  Lemma: the
Actual: point  Lemma: point
Actual: of  Lemma: of
Actual: sale  Lemma: sale
Actual: ,  Lemma: ,
Actual: the  Lemma: the
Actual: Bank  Lemma: Bank
Actual: said  Lemma: said
Actual: .  Lemma: .
Actual: Other  Lemma: Other
Actual: examples  Lemma: example
Actual: are  Lemma: are
Actual: shares  Lemma: share
Actual: automatically  Lemma: automatically
Actual: paying  Lemma: paying
Actual: dividends  Lemma: dividend
Actual: directly  Lemma: directly
Actual: to  Lemma: to
Actual: shareholders  Lemma: shareholder
Actual: ,  Lemma: ,
Actual: or  Lemma: or
Actual: electricity  Lemma: electricity
Actual: meters  Lemma: meter
Actual: paying  Lemma: paying
Actual: suppliers  Lemma: supplier
Actual: directly  Lemma: directly
Actual: ,  Lemma: ,
Actual: based  Lemma: based
Actual: on  Lemma: on
Actual: the  Lemma: the
Actual: amount  Lemma: amount
Actual: of  Lemma: of
Actual: power  Lemma: power
Actual: used  Lemma: used
Actual: .  Lemma: .
Actual: It  Lemma: It
Actual: could  Lemma: could
Actual: also  Lemma: also
Actual: help  Lemma: help
Actual: with  Lemma: with
Actual: very  Lemma: very
Actual: small  Lemma: small
Actual: payments  Lemma: payment
Actual: at  Lemma: at
Actual: a  Lemma: a
Actual: lower  Lemma: lower
Actual: cost  Lemma: cost
Actual: than  Lemma: than
Actual: now  Lemma: now
Actual: ,  Lemma: ,
Actual: allowing  Lemma: allowing
Actual: payments  Lemma: payment
Actual: such  Lemma: such
Actual: as  Lemma: a
Actual: for  Lemma: for
Actual: a  Lemma: a
Actual: few  Lemma: few
Actual: pence  Lemma: penny
Actual: each  Lemma: each
Actual: time  Lemma: time
Actual: to  Lemma: to
Actual: read  Lemma: read
Actual: individual  Lemma: individual
Actual: news  Lemma: news
Actual: articles  Lemma: article
Actual: ,  Lemma: ,
Actual: rather  Lemma: rather
Actual: than  Lemma: than
Actual: signing  Lemma: signing
Actual: up  Lemma: up
Actual: to  Lemma: to
Actual: a  Lemma: a
Actual: monthly  Lemma: monthly
Actual: subscription  Lemma: subscription
Actual: .  Lemma: .
Actual: Other  Lemma: Other
Actual: central  Lemma: central
Actual: banks  Lemma: bank
Actual: around  Lemma: around
Actual: the  Lemma: the
Actual: world  Lemma: world
Actual: are  Lemma: are
Actual: investigating  Lemma: investigating
Actual: the  Lemma: the
Actual: option  Lemma: option
Actual: of  Lemma: of
Actual: issuing  Lemma: issuing
Actual: digital  Lemma: digital
Actual: currency  Lemma: currency
Actual: .  Lemma: .
